kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_korban,tahun
3201,KABUPATEN BOGOR,LAKI-LAKI,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,1,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,1,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,0,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,0,2018
3205,KABUPATEN GARUT,LAKI-LAKI,0,2018
3205,KABUPATEN GARUT,PEREMPUAN,0,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,1,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,2,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,0,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,0,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,0,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,0,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,0,2018
3209,KABUPATEN CIREBON,PEREMPUAN,0,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,2,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,5,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,0,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,0,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,0,2018
3213,KABUPATEN SUBANG,LAKI-LAKI,0,2018
3213,KABUPATEN SUBANG,PEREMPUAN,0,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,1,2018
3215,KABUPATEN KARAWANG,LAKI-LAKI,0,2018
3215,KABUPATEN KARAWANG,PEREMPUAN,1,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,1,2018
3216,KABUPATEN BEKASI,PEREMPUAN,0,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,4,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,9,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,1,2018
3271,KOTA BOGOR,LAKI-LAKI,0,2018
3271,KOTA BOGOR,PEREMPUAN,0,2018
3272,KOTA SUKABUMI,LAKI-LAKI,0,2018
3272,KOTA SUKABUMI,PEREMPUAN,1,2018
3273,KOTA BANDUNG,LAKI-LAKI,0,2018
3273,KOTA BANDUNG,PEREMPUAN,0,2018
3274,KOTA CIREBON,LAKI-LAKI,1,2018
3274,KOTA CIREBON,PEREMPUAN,0,2018
3275,KOTA BEKASI,LAKI-LAKI,0,2018
3275,KOTA BEKASI,PEREMPUAN,0,2018
3276,KOTA DEPOK,LAKI-LAKI,0,2018
3276,KOTA DEPOK,PEREMPUAN,0,2018
3277,KOTA CIMAHI,LAKI-LAKI,0,2018
3277,KOTA CIMAHI,PEREMPUAN,0,2018
3278,KOTA TASIKMALAYA,LAKI-LAKI,0,2018
3278,KOTA TASIKMALAYA,PEREMPUAN,1,2018
3279,KOTA BANJAR,LAKI-LAKI,0,2018
3279,KOTA BANJAR,PEREMPUAN,1,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,0,2019
3201,KABUPATEN BOGOR,PEREMPUAN,0,2019
3202,KABUPATEN SUKABUMI,LAKI-LAKI,0,2019
3202,KABUPATEN SUKABUMI,PEREMPUAN,1,2019
3203,KABUPATEN CIANJUR,LAKI-LAKI,0,2019
3203,KABUPATEN CIANJUR,PEREMPUAN,0,2019
3204,KABUPATEN BANDUNG,LAKI-LAKI,2,2019
3204,KABUPATEN BANDUNG,PEREMPUAN,4,2019
3205,KABUPATEN GARUT,LAKI-LAKI,1,2019
3205,KABUPATEN GARUT,PEREMPUAN,1,2019
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,0,2019
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,0,2019
3207,KABUPATEN CIAMIS,LAKI-LAKI,0,2019
3207,KABUPATEN CIAMIS,PEREMPUAN,1,2019
3208,KABUPATEN KUNINGAN,LAKI-LAKI,0,2019
3208,KABUPATEN KUNINGAN,PEREMPUAN,0,2019
3209,KABUPATEN CIREBON,LAKI-LAKI,2,2019
3209,KABUPATEN CIREBON,PEREMPUAN,6,2019
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,3,2019
3210,KABUPATEN MAJALENGKA,PEREMPUAN,6,2019
3211,KABUPATEN SUMEDANG,LAKI-LAKI,0,2019
3211,KABUPATEN SUMEDANG,PEREMPUAN,1,2019
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0,2019
3212,KABUPATEN INDRAMAYU,PEREMPUAN,2,2019
3213,KABUPATEN SUBANG,LAKI-LAKI,0,2019
3213,KABUPATEN SUBANG,PEREMPUAN,0,2019
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,2019
3214,KABUPATEN PURWAKARTA,PEREMPUAN,2,2019
3215,KABUPATEN KARAWANG,LAKI-LAKI,0,2019
3215,KABUPATEN KARAWANG,PEREMPUAN,0,2019
3216,KABUPATEN BEKASI,LAKI-LAKI,0,2019
3216,KABUPATEN BEKASI,PEREMPUAN,0,2019
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,0,2019
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,4,2019
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,2019
3218,KABUPATEN PANGANDARAN,PEREMPUAN,0,2019
3271,KOTA BOGOR,LAKI-LAKI,0,2019
3271,KOTA BOGOR,PEREMPUAN,1,2019
3272,KOTA SUKABUMI,LAKI-LAKI,0,2019
3272,KOTA SUKABUMI,PEREMPUAN,2,2019
3273,KOTA BANDUNG,LAKI-LAKI,2,2019
3273,KOTA BANDUNG,PEREMPUAN,5,2019
3274,KOTA CIREBON,LAKI-LAKI,0,2019
3274,KOTA CIREBON,PEREMPUAN,0,2019
3275,KOTA BEKASI,LAKI-LAKI,0,2019
3275,KOTA BEKASI,PEREMPUAN,0,2019
3276,KOTA DEPOK,LAKI-LAKI,0,2019
3276,KOTA DEPOK,PEREMPUAN,1,2019
3277,KOTA CIMAHI,LAKI-LAKI,0,2019
3277,KOTA CIMAHI,PEREMPUAN,1,2019
3278,KOTA TASIKMALAYA,LAKI-LAKI,1,2019
3278,KOTA TASIKMALAYA,PEREMPUAN,0,2019
3279,KOTA BANJAR,LAKI-LAKI,0,2019
3279,KOTA BANJAR,PEREMPUAN,0,2019
3201,KABUPATEN BOGOR,LAKI-LAKI,0,2020
3201,KABUPATEN BOGOR,PEREMPUAN,0,2020
3202,KABUPATEN SUKABUMI,LAKI-LAKI,0,2020
3202,KABUPATEN SUKABUMI,PEREMPUAN,5,2020
3203,KABUPATEN CIANJUR,LAKI-LAKI,0,2020
3203,KABUPATEN CIANJUR,PEREMPUAN,0,2020
3204,KABUPATEN BANDUNG,LAKI-LAKI,0,2020
3204,KABUPATEN BANDUNG,PEREMPUAN,3,2020
3205,KABUPATEN GARUT,LAKI-LAKI,0,2020
3205,KABUPATEN GARUT,PEREMPUAN,1,2020
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,0,2020
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,0,2020
3207,KABUPATEN CIAMIS,LAKI-LAKI,0,2020
3207,KABUPATEN CIAMIS,PEREMPUAN,0,2020
3208,KABUPATEN KUNINGAN,LAKI-LAKI,3,2020
3208,KABUPATEN KUNINGAN,PEREMPUAN,3,2020
3209,KABUPATEN CIREBON,LAKI-LAKI,0,2020
3209,KABUPATEN CIREBON,PEREMPUAN,3,2020
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,1,2020
3210,KABUPATEN MAJALENGKA,PEREMPUAN,0,2020
3211,KABUPATEN SUMEDANG,LAKI-LAKI,0,2020
3211,KABUPATEN SUMEDANG,PEREMPUAN,0,2020
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0,2020
3212,KABUPATEN INDRAMAYU,PEREMPUAN,3,2020
3213,KABUPATEN SUBANG,LAKI-LAKI,0,2020
3213,KABUPATEN SUBANG,PEREMPUAN,2,2020
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,2020
3214,KABUPATEN PURWAKARTA,PEREMPUAN,1,2020
3215,KABUPATEN KARAWANG,LAKI-LAKI,1,2020
3215,KABUPATEN KARAWANG,PEREMPUAN,1,2020
3216,KABUPATEN BEKASI,LAKI-LAKI,11,2020
3216,KABUPATEN BEKASI,PEREMPUAN,50,2020
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,0,2020
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,1,2020
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,2020
3218,KABUPATEN PANGANDARAN,PEREMPUAN,3,2020
3271,KOTA BOGOR,LAKI-LAKI,0,2020
3271,KOTA BOGOR,PEREMPUAN,0,2020
3272,KOTA SUKABUMI,LAKI-LAKI,2,2020
3272,KOTA SUKABUMI,PEREMPUAN,1,2020
3273,KOTA BANDUNG,LAKI-LAKI,1,2020
3273,KOTA BANDUNG,PEREMPUAN,10,2020
3274,KOTA CIREBON,LAKI-LAKI,0,2020
3274,KOTA CIREBON,PEREMPUAN,0,2020
3275,KOTA BEKASI,LAKI-LAKI,1,2020
3275,KOTA BEKASI,PEREMPUAN,1,2020
3276,KOTA DEPOK,LAKI-LAKI,1,2020
3276,KOTA DEPOK,PEREMPUAN,11,2020
3277,KOTA CIMAHI,LAKI-LAKI,0,2020
3277,KOTA CIMAHI,PEREMPUAN,3,2020
3278,KOTA TASIKMALAYA,LAKI-LAKI,0,2020
3278,KOTA TASIKMALAYA,PEREMPUAN,0,2020
3279,KOTA BANJAR,LAKI-LAKI,0,2020
3279,KOTA BANJAR,PEREMPUAN,0,2020
3201,KABUPATEN BOGOR,LAKI-LAKI,0,2021
3201,KABUPATEN BOGOR,PEREMPUAN,0,2021
3202,KABUPATEN SUKABUMI,LAKI-LAKI,1,2021
3202,KABUPATEN SUKABUMI,PEREMPUAN,1,2021
3203,KABUPATEN CIANJUR,LAKI-LAKI,0,2021
3203,KABUPATEN CIANJUR,PEREMPUAN,0,2021
3204,KABUPATEN BANDUNG,LAKI-LAKI,0,2021
3204,KABUPATEN BANDUNG,PEREMPUAN,5,2021
3205,KABUPATEN GARUT,LAKI-LAKI,0,2021
3205,KABUPATEN GARUT,PEREMPUAN,0,2021
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,0,2021
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,3,2021
3207,KABUPATEN CIAMIS,LAKI-LAKI,0,2021
3207,KABUPATEN CIAMIS,PEREMPUAN,0,2021
3208,KABUPATEN KUNINGAN,LAKI-LAKI,1,2021
3208,KABUPATEN KUNINGAN,PEREMPUAN,10,2021
3209,KABUPATEN CIREBON,LAKI-LAKI,2,2021
3209,KABUPATEN CIREBON,PEREMPUAN,4,2021
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,0,2021
3210,KABUPATEN MAJALENGKA,PEREMPUAN,1,2021
3211,KABUPATEN SUMEDANG,LAKI-LAKI,0,2021
3211,KABUPATEN SUMEDANG,PEREMPUAN,0,2021
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0,2021
3212,KABUPATEN INDRAMAYU,PEREMPUAN,0,2021
3213,KABUPATEN SUBANG,LAKI-LAKI,0,2021
3213,KABUPATEN SUBANG,PEREMPUAN,0,2021
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,2021
3214,KABUPATEN PURWAKARTA,PEREMPUAN,0,2021
3215,KABUPATEN KARAWANG,LAKI-LAKI,0,2021
3215,KABUPATEN KARAWANG,PEREMPUAN,0,2021
3216,KABUPATEN BEKASI,LAKI-LAKI,1,2021
3216,KABUPATEN BEKASI,PEREMPUAN,1,2021
